NPI,YM_Date,sales,Units,Digital RX impressions,AMOUNT_SPENT_USD,REACH,LINK_CLICKS,IMPRESSIONS,HCP Interactioncs (Imperssion),VUMEDI Data,Call Activity,EMAIL_OPEN_COUNT,EMAIL_CLICK_COUNT
1588698369,01-08-2025,2,15,0,0,0,0,0,0,0,0,0,0
1588807721,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1588828693,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1588891451,01-08-2025,2,30,0,0,0,0,0,0,0,0,0,0
1598048456,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598098899,01-08-2025,0.666666667,60,0,0,0,0,0,0,0,0,0,0
1598115297,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598179228,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598182719,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598350423,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598547341,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598727570,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598747099,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598747164,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598750259,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1598755191,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598758062,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598794570,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1598873382,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598939159,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1598956963,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1609061837,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1609096668,01-08-2025,0.333333333,30,0,0,0,0,0,0,0,0,0,0
1609118843,01-08-2025,1.933333333,30,0,0,0,0,0,0,0,0,0,0
1609118843,01-08-2025,1.933333333,28,0,0,0,0,0,0,0,0,0,0
1609374479,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1609412287,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1609492917,01-08-2025,1.5,15,0,0,0,0,0,0,0,0,0,0
1609492917,01-08-2025,1.5,30,0,0,0,0,0,0,0,0,0,0
1609827989,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1609873504,01-08-2025,3,30,0,0,0,0,0,0,0,0,0,0
1609890474,01-08-2025,2.666666667,120,0,0,0,0,0,0,0,0,0,0
1609893072,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1609899400,01-08-2025,0.666666667,60,0,0,0,0,0,0,0,0,0,0
1609958313,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
1609984368,01-08-2025,1,90,0,0,0,0,0,0,0,0,0,0
1619107414,01-08-2025,1,30,0,0,0,0,0,0,0,0,0,0
